scenarioLabel,protocol,scenario,nNodes,nFlows,simTime,nRuns,pdr_mean,pdr_ci95,latency_mean,latency_ci95,steadyBps_mean,steadyBps_ci95,bootstrapBytes_mean,bootstrapBytes_ci95,totalOverhead_mean,totalOverhead_ci95,energy_mean,energy_ci95,txEnergy_mean,txEnergy_ci95,rxEnergy_mean,rxEnergy_ci95,gttAccuracy_mean,gttAccuracy_ci95,convergence_mean,convergence_ci95,routeDiscovery_mean,routeDiscovery_ci95
large,AODV,grid,49,10,600.00,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
large,OLSR,grid,49,10,600.00,5,0.54,0.06,12.24,0.99,27972.31,3587.18,445701.60,3679.18,15550751.60,1936024.83,3528.38,0.63,51.31,3.88,739.15,55.24,1.00,0.00,0.00,0.00,0.00,0.00
large,DSDV,grid,49,10,600.00,5,0.60,0.02,23.85,1.02,43352.56,2100.39,978179.20,5013.93,24388562.40,1138604.80,3527.16,0.82,68.57,2.27,892.73,30.78,-1.00,0.00,0.00,0.00,0.00,0.00
mobile-slow,TAVRN,mobile,25,5,600.00,5,0.88,0.10,3.54,0.56,2399.59,1009.67,43638.40,2691.11,1339416.20,544910.50,1797.32,0.19,13.93,1.06,206.35,17.09,1.00,0.00,124.46,72.90,204.35,68.25
mobile-slow,AODV,mobile,25,5,600.00,5,0.99,0.01,5.91,1.28,22574.84,6163.34,126000.00,0.00,12316412.80,3328204.99,1798.33,0.56,40.40,8.26,497.85,107.72,-1.00,0.00,0.00,0.00,0.00,0.00
mobile-slow,OLSR,mobile,25,5,600.00,5,0.96,0.03,3.36,0.23,5592.91,387.69,181206.40,6752.04,3201377.20,214542.40,1799.54,0.10,16.75,0.41,259.60,18.22,1.00,0.00,0.00,0.00,0.00,0.00
mobile-slow,DSDV,mobile,25,5,600.00,5,0.92,0.07,3.52,0.49,5974.06,953.91,241396.80,2768.72,3467388.40,514371.55,1797.86,0.18,17.57,1.03,256.24,18.04,-1.00,0.00,0.00,0.00,0.00,0.00
mobile-fast,TAVRN,mobile,25,5,600.00,5,0.88,0.08,4.43,0.89,2860.48,1399.28,39768.00,5707.53,1584425.80,752476.40,1797.30,0.13,14.36,1.47,223.08,25.23,1.00,0.01,113.92,42.14,151.77,58.02
mobile-fast,AODV,mobile,25,5,600.00,5,0.98,0.02,6.28,0.51,24564.03,2390.98,126000.00,0.00,13390577.20,1291130.36,1798.39,0.40,43.05,3.05,536.73,41.84,-1.00,0.00,0.00,0.00,0.00,0.00
mobile-fast,OLSR,mobile,25,5,600.00,5,0.98,0.02,3.94,0.41,6342.73,663.81,190660.80,5648.24,3615736.40,357994.00,1799.80,0.19,17.53,0.67,280.03,13.52,1.00,0.00,0.00,0.00,0.00,0.00
mobile-fast,DSDV,mobile,25,5,600.00,5,0.96,0.03,3.76,0.21,6882.83,365.44,243453.60,3807.22,3960181.60,196857.56,1798.09,0.14,18.53,0.36,281.23,10.45,-1.00,0.00,0.00,0.00,0.00,0.00
node-failure,TAVRN,grid,25,5,600.00,5,0.57,0.13,9.71,0.82,13335.74,3860.56,41870.40,2963.13,7243168.20,2082625.93,1798.24,0.19,25.22,3.93,243.34,46.13,0.90,0.06,154.10,113.69,112.72,36.38
node-failure,AODV,grid,25,5,600.00,5,0.93,0.07,12.39,0.58,34478.72,2058.01,126000.00,0.00,18744510.80,1111323.72,1798.88,0.27,48.25,2.28,424.33,24.38,-1.00,0.00,0.00,0.00,0.00,0.00
node-failure,OLSR,grid,25,5,600.00,5,0.81,0.02,8.79,0.59,19593.39,735.90,143581.60,1353.00,10724011.20,398083.46,1799.55,0.17,31.31,0.71,313.46,6.62,1.00,0.00,0.00,0.00,0.00,0.00
node-failure,DSDV,grid,25,5,600.00,5,0.82,0.04,10.16,1.00,21434.93,1471.97,245540.00,5385.18,11820404.80,793833.19,1798.17,0.14,33.55,1.55,327.06,13.27,-1.00,0.00,0.00,0.00,0.00,0.00
